WorkDate,Customer,Location,BusinessType,OrderCount,NumberOfPieces,TotalRevenue
1/4/2020,Amazon,Dallas,Final Mile,16,96,2167.15
1/4/2020,Amazon,Tampa Bay,Final Mile,15,75,836.27
1/4/2020,Amazon,Sacramento,Final Mile,5,25,564
1/4/2020,Walmart,New York,Middle Mile,14,70,308.23
1/4/2020,Amazon,Atlanta,Final Mile,16,80,1801.36
1/4/2020,Target,Milwaukee,Middle Mile,17,85,597.2
1/4/2020,Walmart,Chicago,Middle Mile,19,76,1790.59
1/4/2020,Costco,Los Angeles,First Mile,6,30,693.76
1/4/2020,Costco,Milwaukee,First Mile,3,15,166.53
1/4/2020,Costco,San Francisco,First Mile,4,20,711.47
1/4/2020,Costco,Miami,First Mile,8,40,1353.6
1/4/2020,Costco,Atlanta,First Mile,9,45,1597.87
1/4/2020,Costco,Chicago,First Mile,3,15,569.05
1/4/2020,Target,Los Angeles,Middle Mile,8,32,468.29
1/4/2020,Target,Seattle,Middle Mile,10,50,1244.54
1/4/2020,Target,Chicago,Middle Mile,19,95,1141.96
1/4/2020,Target,Nashville,Middle Mile,16,80,988.58
1/4/2020,Target,Tampa Bay,Middle Mile,9,36,147.5
1/4/2020,Target,Dallas,Middle Mile,15,60,460.65
1/4/2020,Target,Detroit,Middle Mile,14,84,438.7
1/5/2020,Home Goods,Los Angeles,Middle Mile,12,48,486.09
1/5/2020,Home Goods,Detroit,Middle Mile,16,80,517.79
1/5/2020,Home Goods,Sacramento,Middle Mile,14,84,355.59
1/5/2020,T.J. Maxx,Chicago,Middle Mile,13,65,587.22
1/5/2020,Home Depot,Detroit,Final Mile,16,64,2532.83
1/5/2020,Home Depot,Atlanta,Final Mile,17,85,3890.55
1/5/2020,Home Depot,Dallas,Final Mile,15,105,2106.49
1/5/2020,Home Depot,San Diego,Final Mile,16,80,1097.26
1/5/2020,Home Depot,Nashville,Final Mile,19,95,2587.63
1/5/2020,Home Goods,Houston,Middle Mile,9,45,648.84
1/5/2020,Home Depot,Houston,Final Mile,19,76,3505.5
1/5/2020,Chick-Fil-A,Detroit,Final Mile,13,65,493.1
1/5/2020,Starbucks,San Francisco,Middle Mile,14,70,497.99
1/5/2020,Lowes,Chicago,Final Mile,10,50,2599.87
1/5/2020,Shein,Houston,Middle Mile,5,25,279.13
1/5/2020,Shein,Sacramento,Middle Mile,6,42,419.6
1/5/2020,Shein,Chicago,Middle Mile,10,50,677.69
1/5/2020,Shein,Dallas,Middle Mile,14,42,878.74
1/5/2020,Shein,Milwaukee,Middle Mile,14,70,1615.5
1/5/2020,Starbucks,Seattle,Middle Mile,15,75,1142.35
1/5/2020,Starbucks,Birmingham,Middle Mile,14,70,678.25
1/5/2020,Starbucks,Dallas,Middle Mile,7,35,529.72
1/5/2020,Starbucks,San Diego,Middle Mile,14,70,1227.55
1/5/2020,Starbucks,Sacramento,Middle Mile,6,30,257.87
1/5/2020,Home Depot,Tampa Bay,Final Mile,9,45,3283.47
1/5/2020,Chipotle,Houston,Final Mile,13,65,978.78
1/5/2020,Costco,Detroit,First Mile,3,15,313.26
1/5/2020,Chipotle,Chicago,Final Mile,18,90,1255.01
1/5/2020,Costco,Houston,First Mile,4,20,281.73
1/5/2020,Amazon,Chicago,Final Mile,15,75,822.67
1/5/2020,Amazon,San Francisco,Final Mile,11,55,275.63
1/5/2020,Amazon,Los Angeles,Final Mile,12,60,1030.76
1/5/2020,Amazon,San Diego,Final Mile,16,80,537.05
1/5/2020,Amazon,Houston,Final Mile,8,32,172.47
1/5/2020,Amazon,New York,Final Mile,6,30,697.58
1/5/2020,Amazon,Birmingham,Final Mile,7,35,525.41
1/5/2020,Amazon,Minneapolis,Final Mile,11,55,1131.49
1/5/2020,Amazon,Dallas,Final Mile,16,80,1805.96
1/5/2020,Amazon,Tampa Bay,Final Mile,15,75,836.27
1/5/2020,Amazon,Sacramento,Final Mile,5,20,451.2
1/5/2020,Costco,Minneapolis,First Mile,7,35,1382.27
1/5/2020,Walmart,New York,Middle Mile,14,70,308.23
1/5/2020,Amazon,Atlanta,Final Mile,16,64,1441.09
1/5/2020,Walmart,Chicago,Middle Mile,19,114,2685.89
1/5/2020,Walmart,Milwaukee,Middle Mile,8,40,622.81
1/5/2020,Costco,New York,First Mile,7,35,519.95
1/5/2020,Costco,Los Angeles,First Mile,6,36,832.52
1/5/2020,Costco,Milwaukee,First Mile,3,15,166.53
1/5/2020,Costco,San Francisco,First Mile,4,32,1138.35
1/5/2020,Costco,Chicago,First Mile,3,15,569.05
1/5/2020,Target,Seattle,Middle Mile,10,50,1244.54
1/5/2020,Target,Chicago,Middle Mile,19,95,1141.96
1/5/2020,Target,Sacramento,Middle Mile,15,75,573.84
1/5/2020,Target,Detroit,Middle Mile,14,56,292.47
1/5/2020,Target,Atlanta,Middle Mile,14,84,710.96
1/5/2020,Target,Dallas,Middle Mile,15,75,575.82
1/6/2020,Home Goods,Tampa Bay,Middle Mile,41,246,2060.25
1/6/2020,Home Goods,Miami,Middle Mile,59,295,3506.76
1/6/2020,T.J. Maxx,Chicago,Middle Mile,66,330,2981.29
1/6/2020,T.J. Maxx,Seattle,Middle Mile,37,185,1875.98
1/6/2020,Home Depot,Houston,Final Mile,99,495,22831.85
1/6/2020,Home Depot,San Francisco,Final Mile,56,280,20223.18
1/6/2020,Home Depot,Detroit,Final Mile,83,415,16423.85
1/6/2020,Home Depot,Los Angeles,Final Mile,94,470,30627.65
1/6/2020,Home Goods,Birmingham,Middle Mile,65,260,1819.6
1/6/2020,Home Depot,Sacramento,Final Mile,68,340,15382.51
1/6/2020,Home Depot,Seattle,Final Mile,29,145,5021.82
1/6/2020,Home Goods,Houston,Middle Mile,47,329,4743.76
1/6/2020,Shein,Houston,Middle Mile,27,135,1507.3
1/6/2020,Chipotle,Detroit,Final Mile,31,155,677.84
1/6/2020,Chipotle,Tampa Bay,Final Mile,42,210,2320.35
1/6/2020,Chipotle,Miami,Final Mile,24,120,2015.92
1/6/2020,Lowes,Detroit,Final Mile,25,125,1023.05
1/6/2020,Starbucks,Houston,Middle Mile,69,345,3603.26
1/6/2020,Starbucks,Nashville,Middle Mile,72,360,5526.18
1/6/2020,Starbucks,Seattle,Middle Mile,76,380,5787.89
1/6/2020,Starbucks,Atlanta,Middle Mile,26,130,1939.81
1/6/2020,Starbucks,Detroit,Middle Mile,26,130,2107.34
1/6/2020,Starbucks,Milwaukee,Middle Mile,64,320,2768.19
1/6/2020,Home Depot,Tampa Bay,Final Mile,47,188,13717.63
1/6/2020,Chick-Fil-A,Los Angeles,Final Mile,39,156,2338.07
1/6/2020,Home Depot,Birmingham,Final Mile,28,168,12592.16
1/6/2020,Home Depot,Nashville,Final Mile,98,588,16016.06
1/6/2020,Costco,Minneapolis,First Mile,36,180,7108.79
1/6/2020,Costco,Seattle,First Mile,27,135,2909.86
1/6/2020,Amazon,Chicago,Final Mile,77,308,3378.42
1/6/2020,Amazon,San Francisco,Final Mile,55,275,1378.15
1/6/2020,Amazon,Los Angeles,Final Mile,62,310,5325.62
1/6/2020,Amazon,San Diego,Final Mile,82,410,2752.36
1/6/2020,Amazon,Houston,Final Mile,42,252,1358.16
1/6/2020,Amazon,Birmingham,Final Mile,38,152,2281.78
1/6/2020,Amazon,Nashville,Final Mile,31,155,3138.78
1/6/2020,Amazon,Minneapolis,Final Mile,56,392,8064.43
1/6/2020,Amazon,Dallas,Final Mile,81,486,10971.18
1/6/2020,Amazon,Tampa Bay,Final Mile,75,300,3345.08
1/6/2020,Amazon,Sacramento,Final Mile,25,125,2820.02
1/6/2020,Amazon,New York,Final Mile,33,165,3836.67
1/6/2020,Walmart,Milwaukee,Middle Mile,40,200,3114.05
1/6/2020,Walmart,New York,Middle Mile,72,432,1902.24
1/6/2020,Costco,Houston,First Mile,21,84,1183.28
1/6/2020,Costco,Chicago,First Mile,17,102,3869.52
1/6/2020,Costco,San Francisco,First Mile,24,96,3415.06
1/6/2020,Target,Seattle,Middle Mile,53,212,5276.86
1/6/2020,Costco,Miami,First Mile,40,200,6767.98
1/6/2020,Target,Chicago,Middle Mile,99,198,2380.08
1/6/2020,Target,Detroit,Middle Mile,70,350,1827.91
1/6/2020,Target,San Francisco,Middle Mile,46,230,2324.59
1/6/2020,Target,Milwaukee,Middle Mile,87,435,3056.27
1/6/2020,Walmart,Chicago,Middle Mile,96,480,11309.01
1/7/2020,Home Goods,Tampa Bay,Middle Mile,41,205,1716.88
1/7/2020,Chick-Fil-A,Los Angeles,Final Mile,39,195,2922.59
1/7/2020,Chick-Fil-A,Houston,Final Mile,63,315,4424.78
1/7/2020,Home Goods,Houston,Middle Mile,47,235,3388.4
1/7/2020,Chick-Fil-A,San Francisco,Final Mile,27,135,1231.42
1/7/2020,Starbucks,San Diego,Middle Mile,72,360,6313.12
1/7/2020,Home Depot,Atlanta,Final Mile,89,445,20368.16
1/7/2020,Home Goods,San Francisco,Middle Mile,68,340,2399.6
1/7/2020,T.J. Maxx,Seattle,Middle Mile,37,185,1875.98
1/7/2020,Home Depot,Houston,Final Mile,99,495,22831.85
1/7/2020,Home Depot,Miami,Final Mile,37,185,7689.83
1/7/2020,Home Depot,Detroit,Final Mile,83,415,16423.85
1/7/2020,Chipotle,Detroit,Final Mile,31,155,677.84
1/7/2020,Home Goods,Miami,Middle Mile,59,295,3506.76
1/7/2020,Chipotle,Dallas,Final Mile,37,148,2012.68
1/7/2020,Shein,Milwaukee,Middle Mile,72,360,8308.29
1/7/2020,Chipotle,San Francisco,Final Mile,62,310,2252.49
1/7/2020,Chipotle,Milwaukee,Final Mile,44,220,3104.05
1/7/2020,Chipotle,New York,Final Mile,73,365,4819.59
1/7/2020,Lowes,Milwaukee,Final Mile,17,102,3062.65
1/7/2020,Lowes,Detroit,Final Mile,25,125,1023.05
1/7/2020,Lowes,Sacramento,Final Mile,46,230,9459.88
1/7/2020,Shein,Houston,Middle Mile,27,135,1507.3
1/7/2020,Shein,New York,Middle Mile,35,140,2775.45
1/7/2020,Shein,Los Angeles,Middle Mile,20,100,650.49
1/7/2020,Shein,Sacramento,Middle Mile,32,160,1598.5
1/7/2020,Shein,Chicago,Middle Mile,52,260,3523.97
1/7/2020,Starbucks,Chicago,Middle Mile,76,380,6119.7
1/7/2020,Starbucks,Seattle,Middle Mile,76,456,6945.47
1/7/2020,Home Depot,Los Angeles,Final Mile,94,470,30627.65
1/7/2020,Chipotle,Atlanta,Final Mile,34,136,2324.31
1/7/2020,Home Depot,Sacramento,Final Mile,68,340,15382.51
1/7/2020,Home Goods,Sacramento,Middle Mile,70,350,1481.63
1/7/2020,Home Depot,Milwaukee,Final Mile,40,200,7213.52
1/7/2020,Amazon,Chicago,Final Mile,77,385,4223.02
1/7/2020,Amazon,Atlanta,Final Mile,83,415,9344.58
1/7/2020,Amazon,San Francisco,Final Mile,55,275,1378.15
1/7/2020,Amazon,Los Angeles,Final Mile,62,310,5325.62
1/7/2020,Amazon,Houston,Final Mile,42,210,1131.8
1/7/2020,Amazon,Birmingham,Final Mile,38,190,2852.23
1/7/2020,Amazon,Nashville,Final Mile,31,155,3138.78
1/7/2020,Amazon,Tampa Bay,Final Mile,75,375,4181.36
1/7/2020,Amazon,Sacramento,Final Mile,25,125,2820.02
1/7/2020,Walmart,New York,Middle Mile,72,432,1902.24
1/7/2020,Walmart,Milwaukee,Middle Mile,40,200,3114.05
1/7/2020,Walmart,Chicago,Middle Mile,96,480,11309.01
1/7/2020,Target,Atlanta,Middle Mile,72,360,3046.96
1/7/2020,Target,Milwaukee,Middle Mile,87,435,3056.27
1/7/2020,Target,San Francisco,Middle Mile,46,276,2789.51
1/7/2020,Home Depot,Dallas,Final Mile,78,390,7824.1
1/7/2020,Target,Sacramento,Middle Mile,79,395,3022.22
1/7/2020,Home Depot,Nashville,Final Mile,98,490,13346.72
1/7/2020,Costco,Seattle,First Mile,27,162,3491.83
1/7/2020,Costco,Detroit,First Mile,15,60,1253.03
1/7/2020,Costco,Minneapolis,First Mile,36,144,5687.03
1/7/2020,Target,Detroit,Middle Mile,70,350,1827.91
1/7/2020,Costco,Birmingham,First Mile,14,70,1093.13
1/7/2020,Costco,Chicago,First Mile,17,85,3224.6
1/7/2020,Costco,San Diego,First Mile,46,322,7142.02
1/7/2020,Costco,Los Angeles,First Mile,33,165,3815.7
1/7/2020,Costco,San Francisco,First Mile,24,120,4268.82
1/7/2020,Costco,Miami,First Mile,40,200,6767.98
1/7/2020,Target,Dallas,Middle Mile,76,380,2917.48
1/7/2020,Target,Seattle,Middle Mile,53,265,6596.08
1/7/2020,Target,Chicago,Middle Mile,99,594,7140.24
1/7/2020,Costco,New York,First Mile,36,180,2674
1/8/2020,Lowes,Milwaukee,Final Mile,8,32,960.83
1/8/2020,Chipotle,New York,Final Mile,36,144,1901.43
1/8/2020,Chipotle,Houston,Final Mile,33,165,2484.61
1/8/2020,Chipotle,Detroit,Final Mile,15,75,327.98
1/8/2020,Chick-Fil-A,San Francisco,Final Mile,13,65,592.9
1/8/2020,Chick-Fil-A,Tampa Bay,Final Mile,30,150,1493.43
1/8/2020,Home Depot,Chicago,Final Mile,43,258,18830.07
1/8/2020,Home Goods,New York,Middle Mile,14,70,1269.44
1/8/2020,Home Goods,Los Angeles,Middle Mile,30,150,1519.02
1/8/2020,Home Goods,Detroit,Middle Mile,41,205,1326.84
1/8/2020,Home Goods,Sacramento,Middle Mile,35,175,740.82
1/8/2020,Home Depot,Houston,Final Mile,49,245,11300.61
1/8/2020,Home Depot,Detroit,Final Mile,41,164,6490.39
1/8/2020,Lowes,Detroit,Final Mile,12,72,589.28
1/8/2020,Home Goods,Houston,Middle Mile,23,92,1326.52
1/8/2020,Shein,Houston,Middle Mile,13,65,725.74
1/8/2020,Starbucks,New York,Middle Mile,28,140,862.92
1/8/2020,Shein,Los Angeles,Middle Mile,10,60,390.29
1/8/2020,Starbucks,Milwaukee,Middle Mile,32,96,830.46
1/8/2020,Home Depot,Los Angeles,Final Mile,47,235,15313.83
1/8/2020,Starbucks,San Diego,Middle Mile,36,144,2525.25
1/8/2020,Starbucks,Miami,Middle Mile,36,216,938.95
1/8/2020,Starbucks,Dallas,Middle Mile,19,95,1437.81
1/8/2020,Starbucks,Detroit,Middle Mile,13,65,1053.67
1/8/2020,Shein,New York,Middle Mile,17,85,1685.09
1/8/2020,Starbucks,Atlanta,Middle Mile,13,78,1163.89
1/8/2020,Starbucks,Seattle,Middle Mile,38,190,2893.95
1/8/2020,Starbucks,Chicago,Middle Mile,38,228,3671.82
1/8/2020,Shein,Dallas,Middle Mile,36,252,5272.46
1/8/2020,Shein,Detroit,Middle Mile,27,135,1074.85
1/8/2020,Shein,Nashville,Middle Mile,26,156,3383.94
1/8/2020,Shein,Sacramento,Middle Mile,16,80,799.25
1/8/2020,Starbucks,Birmingham,Middle Mile,36,180,1744.07
1/8/2020,Starbucks,Minneapolis,Middle Mile,18,72,1081.67
1/8/2020,Costco,Seattle,First Mile,13,52,1120.83
1/8/2020,Costco,Detroit,First Mile,7,35,730.94
1/8/2020,Walmart,Chicago,Middle Mile,48,240,5654.51
1/8/2020,Walmart,New York,Middle Mile,36,180,792.6
1/8/2020,Amazon,Sacramento,Final Mile,12,84,1895.06
1/8/2020,Amazon,Tampa Bay,Final Mile,37,185,2062.8
1/8/2020,Amazon,Dallas,Final Mile,40,240,5417.87
1/8/2020,Amazon,Minneapolis,Final Mile,28,140,2880.15
1/8/2020,Target,San Francisco,Middle Mile,23,115,1162.3
1/8/2020,Amazon,Birmingham,Final Mile,19,95,1426.11
1/8/2020,Amazon,Houston,Final Mile,21,105,565.9
1/8/2020,Amazon,San Diego,Final Mile,41,205,1376.18
1/8/2020,Amazon,Los Angeles,Final Mile,31,155,2662.81
1/8/2020,Amazon,San Francisco,Final Mile,27,135,676.54
1/8/2020,Amazon,Atlanta,Final Mile,41,205,4616
1/8/2020,Home Depot,Dallas,Final Mile,39,234,4694.46
1/8/2020,Amazon,New York,Final Mile,16,80,1860.2
1/8/2020,Target,Detroit,Middle Mile,35,245,1279.54
1/8/2020,Amazon,Chicago,Final Mile,38,190,2084.09
1/8/2020,Target,Nashville,Middle Mile,40,200,2471.45
1/8/2020,Costco,Dallas,First Mile,14,84,1806.02
1/8/2020,Costco,Minneapolis,First Mile,18,108,4265.27
1/8/2020,Costco,San Diego,First Mile,23,92,2040.58
1/8/2020,Costco,Birmingham,First Mile,7,35,546.57
1/8/2020,Target,Tampa Bay,Middle Mile,22,110,450.71
1/8/2020,Costco,Los Angeles,First Mile,16,80,1850.04
1/8/2020,Costco,Milwaukee,First Mile,9,45,499.58
1/8/2020,Costco,New York,First Mile,18,90,1337
1/8/2020,Costco,Atlanta,First Mile,22,110,3905.92
1/8/2020,Target,Dallas,Middle Mile,38,190,1458.74
1/8/2020,Target,Los Angeles,Middle Mile,22,110,1609.76
